customer_id,name,email,age,country,signup_date,lifetime_value
CUST-0100,Customer 100,user100@example.com,22,UK,2023-07-17,593.24
CUST-0101,Customer 101,user101@example.com,55,,2023-12-03,306.66
CUST-0102,Customer 102,user102@example.com,52,CA,2023-04-16,881.13
CUST-0103,Customer 103,user103@example.com,49,US,2023-01-04,906.09
CUST-0104,,user104@example.com,47,,2023-07-07,1200.69
CUST-0105,Customer 105,user105@example.com,35,AU,2023-05-03,1170.66
CUST-0106,Customer 106,user106@example.com,62,CA,2023-11-03,0.54
CUST-0107,Customer 107,user107@example.com,61,US,2023-12-11,2217.92
CUST-0108,Customer 108,user108@example.com,42,UK,2023-02-11,177.81
CUST-0109,Customer 109,user109@example.com,59,DE,2023-02-17,471.21
CUST-0110,Customer 110,user110@example.com,65,CA,2023-10-22,122.47
CUST-0111,Customer 111,user111@example.com,64,CA,2023-06-26,162.15
CUST-0112,Customer 112,user112@example.com,56,US,2023-11-10,466.88
CUST-0113,Customer 113,user113@example.com,68,FR,2023-08-13,346.16
CUST-0114,Customer 114,user114@example.com,41,DE,2023-07-28,273.11
CUST-0115,Customer 115,user115@example.com,67,UK,2023-01-09,1279.25
CUST-0116,Customer 116,user116@example.com,63,CA,2023-07-23,511.57
CUST-0117,Customer 117,user117@example.com,23,FR,2023-03-18,441.47
CUST-0118,Customer 118,user118@example.com,37,FR,2023-01-08,
CUST-0119,Customer 119,user119@example.com,37,DE,2023-02-01,604.49
CUST-0120,Customer 120,user120@example.com,68,JP,2023-03-12,759.62
CUST-0121,Customer 121,user121@example.com,19,CA,2023-05-17,
CUST-0122,Customer 122,user122@example.com,47,US,2023-08-28,229.19
CUST-0123,Customer 123,user123@example.com,64,US,2023-01-28,140.22
CUST-0124,Customer 124,user124@example.com,72,,2023-12-24,127.13
CUST-0125,Customer 125,user125@example.com,70,AU,2023-02-17,27.06
CUST-0126,Customer 126,user126@example.com,,BR,2023-05-25,198.23
CUST-0127,Customer 127,INVALID,54,FR,2023-08-12,339.98
CUST-0128,Customer 128,user128@example.com,66,DE,2023-01-14,
CUST-0129,Customer 129,user129@example.com,18,US,2023-11-13,649.54
CUST-0130,Customer 130,user130@example.com,49,DE,2023-12-09,
CUST-0131,Customer 131,user131@example.com,62,BR,2023-12-03,352.03
CUST-0132,Customer 132,user132@example.com,21,DE,2023-04-10,189.17
CUST-0133,Customer 133,user133@example.com,38,FR,2023-02-07,735.16
CUST-0134,Customer 134,user134@example.com,38,AU,2023-04-15,153.95
CUST-0135,Customer 135,user135@example.com,70,US,2023-04-27,80.27
CUST-0136,Customer 136,user136@example.com,21,JP,2023-03-01,964.14
CUST-0137,Customer 137,user137@example.com,24,DE,2023-02-01,
CUST-0138,Customer 138,user138@example.com,43,UK,2023-10-19,837.65
CUST-0139,,INVALID,46,UK,2023-06-04,
CUST-0140,Customer 140,user140@example.com,70,BR,2023-01-13,94.86
CUST-0141,Customer 141,user141@example.com,27,,2023-10-20,174.85
CUST-0142,Customer 142,user142@example.com,35,CA,2023-04-21,373.08
CUST-0143,Customer 143,user143@example.com,42,AU,2023-08-18,210.82
CUST-0144,Customer 144,user144@example.com,19,FR,2023-01-26,30.19
CUST-0145,Customer 145,user145@example.com,32,UK,2023-04-22,381.45
CUST-0146,Customer 146,user146@example.com,32,CA,2023-06-27,95.41
CUST-0147,Customer 147,user147@example.com,40,US,2023-12-23,419.26
CUST-0148,Customer 148,user148@example.com,69,BR,2023-09-10,19.35
CUST-0149,Customer 149,user149@example.com,,AU,2023-10-07,208.33
CUST-0150,Customer 150,user150@example.com,21,,2023-10-23,744.42
CUST-0151,Customer 151,user151@example.com,41,CA,2023-10-04,194.75
CUST-0152,Customer 152,user152@example.com,58,AU,2023-03-23,591.37
CUST-0153,Customer 153,user153@example.com,55,CA,2023-05-24,68.11
CUST-0154,Customer 154,user154@example.com,43,US,2023-03-20,827.24
CUST-0155,Customer 155,user155@example.com,49,UK,2023-04-12,91.89
CUST-0156,Customer 156,user156@example.com,58,AU,2023-08-01,143.54
CUST-0157,Customer 157,user157@example.com,18,BR,2023-12-14,1079.47
CUST-0158,Customer 158,user158@example.com,24,FR,2023-03-15,
CUST-0159,Customer 159,user159@example.com,24,DE,2023-07-06,395.98
CUST-0160,Customer 160,user160@example.com,57,US,2023-07-21,1102.52
CUST-0161,Customer 161,user161@example.com,30,JP,2023-11-10,50.42
CUST-0162,Customer 162,user162@example.com,21,CA,2023-02-10,490.54
CUST-0163,Customer 163,user163@example.com,58,UK,2023-08-28,768.27
CUST-0164,Customer 164,user164@example.com,59,DE,2023-06-13,295.09
CUST-0165,Customer 165,user165@example.com,35,DE,2023-12-22,
CUST-0166,Customer 166,user166@example.com,66,US,2023-07-27,1685.25
CUST-0167,Customer 167,user167@example.com,33,UK,2023-07-28,348.68
